id,name,review_count,rating,price,category,latitude,longitude,address,city,state,zip
D4JtQNTI4X3KcbzacDJsMw,Bob Likes Thai Food,175,3.5,2.0,Thai,49.2513423,-123.101333,3755 Main St,Vancouver,BC,V5V
jGennaZUr2MsJyRhijNBfA,Legal Sea Foods,885,3.5,2.0,Italian,42.3634422,-71.0257812,1 Harborside Dr,Boston,MA,02128
QciD6FbNklaJvUbLExD4Nw,ARGO,78,4.0,2.0,Mediterranean,49.2544359,-123.0200503,"3790 Canada Way, Unit 108",Burnaby,BC,V5G 1G4
Xi2GGNzOiUS8r6WCFvu-fw,Kerala Kitchen,9,4.0,2.0,Indian,49.173723,-122.889641,103- 9386 120 Street,Surrey,BC,V3V 4B9
3ME_CSB1bo4F0QMhQRUeOA,Yan's China Bistro,77,4.0,2.0,Chinese,42.4680809796,-70.9167520723,146 Humphrey St,Swampscott,MA,01907
NoPXKdIwRzflOW-5exFAqA,1st Avenue Seafood by Pocha,12,4.0,,Korean,49.2375466909,-122.8726284322,901 Lougheed Hwy,Coquitlam,BC,V3K 3T3
XDv29FffNd2dWnDOtZP-wg,Sapporo Ramen,667,3.5,2.0,Japanese,42.3872124,-71.1185319,1815 Massachusetts Ave,Cambridge,MA,02140
jfDfHzAq6iKkRnzzZ4n1nQ,Let's Roll Custom Sushi Bar,31,4.5,2.0,American,49.2863603653,-123.1402613545,"1184 Denman Street, Suite 104",Vancouver,BC,V6G 2M9
_p53vrNvW47kNZvRzTQL8A,Teriyaki House,53,4.0,1.0,Japanese,42.4007464,-71.1178033,868 Broadway,Somerville,MA,02144
9C2lhZ4qRH5H2zMjmto1ng,The Primavera Restaurant,21,3.5,2.0,Italian,42.2878446,-71.107567,289 Walk Hill St,Roslindale,MA,02131
L-Stk9lkVfPSFQlrFukCwA,Bill's Pizzeria,216,3.5,2.0,Italian,42.3307744,-71.1916386,753 Beacon St,Newton,MA,02459
V0rGM46G0x2cy9RfUt1qPQ,Chung's Asian Cuisine,68,3.0,2.0,Chinese,42.206267,-71.024461,731 Granite St,Braintree,MA,02184
HVpIq8w2SMZK9MQT9u3yng,Gourmet Garden,10,3.5,,Japanese,42.5516861338,-70.9331208712,139 Endicott St,Danvers,MA,01923
SHHxhkzbKBKvv2Mqe2Ylrw,Ernie's Lunch,46,4.5,1.0,American,42.468583,-71.0681737,458 Franklin St,Melrose,MA,02176
N6usNa3_rcYOb8NQ7-Wq3A,Pizza Pie-er,78,2.5,2.0,Italian,42.3726938016,-71.0991704464,187 Hampshire St,Cambridge,MA,02139
FRB3u9Y2boOGDjyQQo7UgA,Regina Pizzeria,10,4.0,2.0,Italian,42.361382,-71.158536,"Arsenal Mall, 485 Arsenal Street",Watertown,MA,02472
iDcT8noFyv1sEVzzEWq1ow,Flaming Grill & Buffet,92,3.5,2.0,Japanese,42.274196,-71.115652,950 American Legion Hwy,Roslindale,MA,02131
7ee6XyKyeduI-Rbc6L5j2Q,NingTu Restaurant,68,4.0,2.0,Chinese,49.2440788,-123.0633372,2130 Kingsway,Vancouver,BC,V5N 2T5
_WTQPEX3oNVT8cSz9UKsFQ,Geng Shi Ji,14,3.0,3.0,Chinese,49.1871609,-123.1313808,8338 Capstan Way,Richmond,BC,V6X 4B5
9Bt9MMtmjPB6IykEMrFB7A,Tavern in the Square,423,3.0,2.0,American,42.4852702,-71.2121289,100 District Ave,Burlington,MA,01803
NcFYw0jBKldrNXkhEzJnSg,Family Kitchen,14,4.5,1.0,Italian,42.378711,-71.062136,198 Bunker Hill St,Charlestown,MA,02129
RCu6rMEuzYobGOSVws40fQ,Bugaboo Creek Steak House,66,2.5,2.0,American,42.1987675,-71.0003282,551 John Mahar Hwy,Braintree,MA,02184
AaNj_9KNy9t1H1cu1NCNLQ,Mumbai Masala Restaurant,54,3.5,2.0,Indian,49.310091,-123.041686,"333 Brooksbank Avenue, Unit 770",North Vancouver,BC,V7J 3V8
SI0R_Fw7kFc_2bO_SX2rqw,Tuscan Kitchen,487,3.0,3.0,Italian,42.485395,-71.210903,2400 District Ave,Burlington,MA,01803
loRoCo53b30zgHZ_mIMatQ,Amrheins,458,3.5,2.0,American,42.3418764,-71.055116,80 W Broadway,Boston,MA,02127
L3uILCYvEbXZA-mgDcSmRg,Bistro 20,85,2.5,2.0,Italian,42.3634010563,-71.3945123025,120 Boston Post Rd,Sudbury,MA,01778
3fgpLKoDYpS3B1P57rv2vg,Gallo Nero,84,3.5,2.0,Italian,42.524193,-70.923611,89 Main St,Peabody,MA,01960
wVlxPWwFL-MrzCXim-UfWg,Bambolina Restaurant,369,4.5,2.0,Italian,42.520415,-70.8916573,288 Derby St,Salem,MA,01970
tcreyfoiR2NFMuEz0UClrg,The Roost,7,3.5,,American,49.2890522,-123.1394572,1037 Denman Street,Vancouver,BC,V6G 2M4
Eexegu4YJJd1kgCxjTHv8w,The Venetian Weymouth,28,3.5,,Italian,42.2152546,-70.9235181,909 Broad St,Weymouth,MA,02189
CZXrdxJsQtrSS41A7IVDWQ,Chinese Mirch,268,3.0,2.0,Indian,42.298532,-71.399635,140 Worcester Rd,Framingham,MA,01702
hrCpuDlWfbFHHr9I8W6O-A,Cilantro and Jalapeño,49,3.5,2.0,Mexican,49.3102265171,-123.0819049048,131- 123 Carrie Cates Court,North Vancouver,BC,V7M 3K7
xY6MCYdKz339KxII-_ekFA,Edamame,199,3.5,2.0,Japanese,42.3633808318,-71.1950764361,171 Watertown St,Watertown,MA,02472
iq2n_LJgdZZ6FpoQZTpD2g,Alberello Pizzeria,66,3.5,2.0,Italian,49.321967,-123.072807,115 W 15th Street,North Vancouver,BC,V7M 1R7
D8-ssK_8w1WBajKCXUG5Uw,Baja Box,103,4.0,1.0,Mexican,42.2762493274,-71.0088366667,793 Quincy Shore Dr,Quincy,MA,02170
RzpmK85n8n8RE4Th8GFAog,Obosá Restaurant,14,4.5,,African,42.2860974,-71.1367909,146 Belgrade Ave,Roslindale,MA,02131
7lRIEq5_tBBR1T9d_vTDvQ,Yoko Sushi ,19,4.0,2.0,Japanese,49.2492979664,-122.867572733,1001 Austin Avenue,Coquitlam,BC,V3K 3N9
A-xLw4u4wYusT1A2N-1Vxw,Zoe's Chinese Restaurant,275,3.5,2.0,Chinese,42.3835307,-71.1131702,296 Beacon St,Somerville,MA,02143
7rywsRbSoBNgQo-jNFrOAw,Basil Pasta Bar,92,4.0,1.0,Italian,49.2715122,-123.1548322,1602 Yew Street,Vancouver,BC,V6K 3E7
d6VLOHtN035hHLrGaF2-pQ,Pandan Leaf,61,3.5,2.0,Thai,42.3719262,-71.0857741535,569 Cambridge St,Cambridge,MA,02141
fTSKD2e4FTyUbHCl93t1ow,Momo N Curry,212,4.0,2.0,Indian,42.382105,-71.1018281,431 Somerville Ave,Somerville,MA,02143
AWat-D7msT_Yfl46PqCSPQ,The Vallarta Grill,19,2.0,2.0,Mexican,49.2837849,-123.1066087,102 Water Street,Vancouver,BC,V6B 1B2
mvCO6pRpfMB0_1GLlwgZRw,Sushi California,290,3.5,2.0,Japanese,49.2630454634,-123.112614326,388 W Broadway,Vancouver,BC,V5Y 4A8
Z1eRppVpwQXgzAxAc1unTA,MYST Asian Fusion,208,3.5,2.0,Chinese,49.2193525649,-122.9706721008,2-6400 Kingsway,Burnaby,BC,V5E 1C5
LSmYTw4HvU0lDBK4Mg2KyQ,Shenannigans Bar,187,3.5,2.0,American,42.3383941,-71.0498008,332 W Broadway,Boston,MA,02127
hZOYhhNMP_yiR7QJT4qawg,Fish Market Sushi Bar,597,4.0,2.0,Japanese,42.3529528,-71.1329989,170 Brighton Ave,Allston,MA,02134
EvVCF3mompCg3PPkpqip2A,Mr. Red Cafe,105,4.0,2.0,Vietnamese,49.2640755304,-123.1659137158,2680 W Broadway,Vancouver,BC,V6K 2G3
8ZxffAyJYBa_nrQSkKMcRg,Blue Star Japanese Bistro,26,3.0,2.0,Japanese,49.2682315,-123.1488691,1935 W 4th Avenue,Vancouver,BC,V6J 1M7
f2wQu-vRn4dPMU4ZdEbVew,Los Compadres,14,3.5,2.0,Mexican,49.280949,-123.0091785,4280 Hastings Street,Burnaby,BC,V5C 2J5
dd3moZV5D516pE9TcQnHsA,Joyful Seafood Restaurant,18,3.5,,Chinese,49.2227533,-122.9810296,5665 Kingsway,Burnaby,BC,V5H 2G4
h6b_e9Umiau5osfScdR4Ww,Whiskey's Food & Spirits,636,2.5,2.0,American,42.3486744,-71.0836219,885 Boylston St,Boston,MA,02116
xGXzsc-hzam-VArK6eTvtw,The Burren,512,3.5,2.0,American,42.3954502,-71.121741,247 Elm St,Somerville,MA,02144
